State,City,Population,latitude,longitude
New York,New York,18713220,40.6943,-73.9249
New York,Brooklyn,2559903,40.6501,-73.9496
California,Los Angeles,12750807,34.1139,-118.4068
California,San Francisco,3592294,37.7562,-122.443
Illinois,Chicago,8604203,41.8373,-87.6862
Illinois,Rockford,282762,42.2597,-89.0641
Florida,Miami,6445545,25.7839,-80.2102
Florida,Tampa,2908063,27.9942,-82.4451
Texas,Dallas,5743938,32.7936,-96.7662
Texas,Houston,5464251,29.7863,-95.3889
Pennsylvania,Philadelphia,5649300,40.0077,-75.1339
Pennsylvania,Pittsburgh,1703266,40.4396,-79.9762
Georgia,Atlanta,5449398,33.7627,-84.4224
Georgia,Augusta,390809,33.3645,-82.0708
Massachusetts,Boston,4688346,42.3188,-71.0846
Massachusetts,Springfield,623401,42.1155,-72.5395
Arizona,Phoenix,4219697,33.5722,-112.0891
Arizona,Tucson,888486,32.1545,-110.8782
Washington,Seattle,3789215,47.6211,-122.3244
Washington,Spokane,412275,47.6671,-117.433
Michigan,Detroit,3506126,42.3834,-83.1024
Michigan,Grand Rapids,609314,42.962,-85.6562
Colorado,Denver,2876625,39.7621,-104.8759
Colorado,Colorado Springs,642413,38.8674,-104.7606
Maryland,Baltimore,2106068,39.3051,-76.6144
Maryland,Hagerstown,184755,39.6401,-77.7217
Nevada,Las Vegas,2104198,36.2333,-115.2654
Nevada,Reno,445020,39.5497,-119.8483
Oregon,Portland,2074775,45.5372,-122.65
Oregon,Eugene,273439,44.0563,-123.1173
Missouri,St. Louis,2024074,38.6358,-90.2451
Missouri,Kansas City,1636715,39.1239,-94.5541
Ohio,Cleveland,1710093,41.4767,-81.6804
Ohio,Cincinnati,1662691,39.1413,-84.5061
Indiana,Indianapolis,1588961,39.7771,-86.1458
Indiana,Fort Wayne,334122,41.0886,-85.1437
North Carolina,Charlotte,1512923,35.208,-80.8304
North Carolina,Raleigh,1038738,35.8325,-78.6435
Virginia,Virginia Beach,1478868,36.7335,-76.0435
Virginia,Richmond,1075798,37.5295,-77.4756
Wisconsin,Milwaukee,1365787,43.0642,-87.9673
Wisconsin,Madison,447245,43.0826,-89.3931
Utah,Salt Lake City,1098526,40.7777,-111.9306
Utah,Ogden,578523,41.2278,-111.9682
Tennessee,Nashville,1081903,36.1715,-86.7843
Tennessee,Memphis,1066967,35.1046,-89.9773
Louisiana,New Orleans,1020886,30.0687,-89.9288
Louisiana,Baton Rouge,570308,30.4418,-91.131
Connecticut,Bridgeport,924449,41.1918,-73.1953
Connecticut,Hartford,905152,41.7661,-72.6834
Alabama,Birmingham,739573,33.5277,-86.7987
Alabama,Huntsville,319249,34.6988,-86.6412
South Carolina,Charleston,628377,32.8153,-79.9628
South Carolina,Columbia,560041,34.0376,-80.9037
Kansas,Wichita,482249,37.6896,-97.3442
Kansas,Overland Park,195494,38.887,-94.687
Iowa,Des Moines,473957,41.5725,-93.6105
Iowa,Davenport,285362,41.5563,-90.6052
Puerto Rico,San Juan,331165,18.4037,-66.0636
Puerto Rico,Bayamón,165383,18.3793,-66.1635
New Jersey,Trenton,290716,40.2236,-74.7641
New Jersey,Newark,282011,40.7245,-74.1725
